Time,Ask,Bid,AskVolume,BidVolume
22.04.2013 10:35:40.138,1.02758,1.02745,3.90,1.50
22.04.2013 10:35:41.508,1.02758,1.02745,3.90,1.50
22.04.2013 10:35:41.686,1.02758,1.02744,1.65,1.88
22.04.2013 10:35:41.988,1.02759,1.02745,5.03,1.50
22.04.2013 10:35:42.519,1.02759,1.02745,3.53,1.50
22.04.2013 10:35:48.586,1.02758,1.02745,1.65,1.50
22.04.2013 10:35:50.816,1.02759,1.02745,4.28,1.50
22.04.2013 10:35:52.536,1.02759,1.02745,3.53,2.25
22.04.2013 10:35:52.597,1.02759,1.02745,3.53,2.25
22.04.2013 10:35:52.955,1.02760,1.02749,1.13,1.50
22.04.2013 10:35:53.017,1.02762,1.02749,1.50,2.25
22.04.2013 10:35:54.516,1.02763,1.02751,1.65,1.50
22.04.2013 10:35:55.647,1.02764,1.02750,1.65,1.50
22.04.2013 10:36:01.886,1.02764,1.02751,1.73,1.50
22.04.2013 10:36:02.539,1.02764,1.02751,2.48,1.50
22.04.2013 10:36:03.227,1.02763,1.02751,1.73,1.50
22.04.2013 10:36:03.476,1.02765,1.02752,1.50,2.40
22.04.2013 10:36:03.723,1.02764,1.02754,1.88,1.50
22.04.2013 10:36:04.147,1.02764,1.02750,2.63,2.25
22.04.2013 10:36:04.688,1.02763,1.02749,1.65,1.88
22.04.2013 10:36:04.746,1.02763,1.02749,1.65,1.13
22.04.2013 10:36:05.286,1.02761,1.02747,1.50,2.25
22.04.2013 10:36:05.965,1.02761,1.02748,2.25,1.50
22.04.2013 10:36:07.400,1.02760,1.02748,1.50,2.25
22.04.2013 10:36:09.908,1.02758,1.02747,1.65,2.25
22.04.2013 10:36:09.970,1.02758,1.02746,1.65,1.50
22.04.2013 10:36:10.037,1.02758,1.02745,1.65,2.25
22.04.2013 10:36:11.587,1.02757,1.02745,1.65,1.50
22.04.2013 10:36:12.556,1.02757,1.02744,2.40,3.00
22.04.2013 10:36:14.316,1.02757,1.02744,1.65,2.25
22.04.2013 10:36:14.636,1.02757,1.02744,1.65,3.00
22.04.2013 10:36:21.257,1.02757,1.02744,1.28,2.25
22.04.2013 10:36:21.627,1.02756,1.02744,1.13,2.25
22.04.2013 10:36:22.106,1.02753,1.02739,3.15,1.13
22.04.2013 10:36:22.286,1.02752,1.02738,1.65,3.38
22.04.2013 10:36:22.875,1.02751,1.02738,1.50,1.88
22.04.2013 10:36:23.526,1.02751,1.02738,2.25,1.50
22.04.2013 10:36:24.115,1.02751,1.02738,3.00,1.50
22.04.2013 10:36:24.425,1.02750,1.02738,1.50,1.50
22.04.2013 10:36:24.546,1.02750,1.02738,1.50,1.50
22.04.2013 10:36:24.666,1.02749,1.02736,3.00,3.00
22.04.2013 10:36:24.726,1.02749,1.02736,3.38,1.50
22.04.2013 10:36:24.847,1.02748,1.02733,1.65,4.28
22.04.2013 10:36:25.526,1.02748,1.02734,1.65,1.50
22.04.2013 10:36:26.146,1.02748,1.02733,2.40,3.53
22.04.2013 10:36:26.827,1.02746,1.02734,1.50,1.50
22.04.2013 10:36:28.442,1.02748,1.02734,1.65,1.50
22.04.2013 10:36:31.586,1.02748,1.02734,2.40,1.50
22.04.2013 10:36:32.435,1.02748,1.02734,2.40,1.50
22.04.2013 10:36:40.487,1.02744,1.02734,2.40,1.13
22.04.2013 10:36:40.737,1.02743,1.02730,2.40,1.50
22.04.2013 10:36:41.187,1.02742,1.02730,1.50,1.50
22.04.2013 10:36:42.007,1.02742,1.02730,3.00,1.88
22.04.2013 10:36:42.607,1.02742,1.02730,1.50,1.88
22.04.2013 10:36:42.736,1.02742,1.02730,1.50,1.13
22.04.2013 10:36:46.490,1.02742,1.02730,2.25,1.50
22.04.2013 10:36:47.166,1.02742,1.02730,1.50,2.25
22.04.2013 10:36:47.778,1.02742,1.02730,1.50,1.50
22.04.2013 10:36:49.016,1.02743,1.02729,1.65,2.63
22.04.2013 10:36:49.556,1.02742,1.02729,1.50,2.63
22.04.2013 10:36:50.516,1.02742,1.02729,3.15,1.88
22.04.2013 10:36:50.576,1.02742,1.02729,3.15,1.13
22.04.2013 10:36:50.697,1.02741,1.02728,1.50,2.25
22.04.2013 10:36:51.231,1.02739,1.02728,2.40,1.50
22.04.2013 10:36:51.301,1.02739,1.02725,3.15,2.25
22.04.2013 10:36:52.036,1.02738,1.02725,1.65,3.00
22.04.2013 10:36:52.277,1.02738,1.02726,2.40,1.50
22.04.2013 10:36:52.716,1.02738,1.02725,1.65,3.00
22.04.2013 10:36:53.268,1.02737,1.02726,1.50,1.50
22.04.2013 10:36:54.748,1.02737,1.02725,1.50,1.50
22.04.2013 10:36:55.278,1.02737,1.02725,2.25,1.50
22.04.2013 10:36:56.866,1.02737,1.02724,1.50,1.13
22.04.2013 10:36:57.376,1.02737,1.02725,2.25,1.50
22.04.2013 10:37:07.115,1.02737,1.02723,1.50,4.50
22.04.2013 10:37:07.177,1.02733,1.02723,1.65,4.50
22.04.2013 10:37:07.297,1.02733,1.02723,1.65,1.50
22.04.2013 10:37:07.836,1.02733,1.02721,2.40,1.50
22.04.2013 10:37:08.337,1.02733,1.02721,2.40,1.50
22.04.2013 10:37:09.075,1.02732,1.02720,1.65,1.50
22.04.2013 10:37:13.835,1.02733,1.02721,3.15,1.50
22.04.2013 10:37:15.967,1.02733,1.02721,2.40,1.50
22.04.2013 10:37:18.968,1.02733,1.02721,2.40,1.50
22.04.2013 10:37:19.946,1.02733,1.02721,3.15,1.50
22.04.2013 10:37:20.488,1.02732,1.02719,1.65,1.50
22.04.2013 10:37:20.617,1.02729,1.02718,1.13,3.00
22.04.2013 10:37:20.858,1.02728,1.02716,2.40,1.50
22.04.2013 10:37:21.218,1.02730,1.02718,2.25,2.25
22.04.2013 10:37:21.597,1.02730,1.02718,2.25,3.75
22.04.2013 10:37:22.318,1.02730,1.02719,2.25,1.50
22.04.2013 10:37:22.378,1.02730,1.02724,1.50,1.50
22.04.2013 10:37:22.567,1.02736,1.02728,4.50,1.50
22.04.2013 10:37:22.626,1.02739,1.02728,4.50,1.50
22.04.2013 10:37:22.747,1.02740,1.02728,2.25,2.25
22.04.2013 10:37:23.046,1.02742,1.02730,3.53,1.50
22.04.2013 10:37:25.136,1.02743,1.02731,1.65,1.50
22.04.2013 10:37:25.461,1.02745,1.02738,2.63,1.50
